datetime,ticker,n_contracts,side,curr_ask,ev
2024-04-11T13:08:01.019701,INX-24APR11-B5187,1.0,no,56,13.809227022069791
2024-04-11T13:09:00.719876,INX-24APR11-B5137,9.0,yes,5,6.659779838863546
2024-04-11T13:09:00.828853,INX-24APR11-B5187,1.0,no,57,12.660454987025417
2024-04-11T13:10:00.684591,INX-24APR11-B5137,9.0,yes,6,5.629356619085774
2024-04-11T13:10:00.737816,INX-24APR11-B5187,2.0,no,56,13.57780970536669
2024-04-11T13:12:00.672371,INX-24APR11-B5137,42.0,yes,5,5.539124268605635
2024-04-11T13:12:00.725919,INX-24APR11-B5162,2.0,yes,23,1.3476684354185444
2024-04-11T13:12:00.783690,INX-24APR11-B5187,9.0,no,55,14.179541471677524
2024-04-11T13:13:00.702287,INX-24APR11-B5137,8.0,yes,5,5.620255618862174
2024-04-11T13:13:00.754800,INX-24APR11-B5162,1.0,yes,21,3.509382422938618
2024-04-11T13:13:00.814199,INX-24APR11-B5187,2.0,no,55,14.112904302725767
2024-04-11T13:14:00.920231,INX-24APR11-B5137,8.0,yes,5,5.044935789884722
2024-04-11T13:14:00.992455,INX-24APR11-B5162,1.0,yes,21,2.9433418057431027
2024-04-11T13:14:01.049832,INX-24APR11-B5187,2.0,no,54,14.94446792550906
2024-04-11T13:15:00.690412,INX-24APR11-B5137,7.0,yes,4,5.91436414377651
2024-04-11T13:15:00.747577,INX-24APR11-B5162,1.0,yes,20,3.866688961017374
2024-04-11T13:15:00.802455,INX-24APR11-B5187,1.0,no,54,14.845685147145801
2024-04-11T13:16:00.675661,INX-24APR11-B5137,2.0,yes,5,4.877329372261329
2024-04-11T13:18:00.720324,INX-24APR11-B5137,1.0,yes,4,5.595131442795154
2024-04-11T13:19:00.648858,INX-24APR11-B5137,1.0,yes,4,5.542440765953545
2024-04-11T13:41:00.975978,INX-24APR11-B5237,1.0,yes,4,5.293211147667668
2024-04-11T13:43:00.709346,INX-24APR11-B5162,1.0,yes,15,8.307489810560224
2024-04-11T13:43:00.871456,INX-24APR11-B5237,1.0,yes,5,3.158416630285215
2024-04-11T13:44:00.678331,INX-24APR11-B5162,2.0,yes,14,6.961856816484151
2024-04-11T13:44:00.840353,INX-24APR11-B5237,4.0,yes,5,4.786350942603583
2024-04-11T14:08:01.447794,INX-24APR11-B5187,-612.0,no,70,0
2024-04-11T14:09:00.951563,INX-24APR11-B5187,364.0,yes,25,4.3716167949110165
2024-04-11T14:09:01.007471,INX-24APR11-B5212,616.0,no,49,14.513164529757951
2024-04-11T14:13:00.691167,INX-24APR11-B5162,4.0,yes,4,5.464632884702244
2024-04-11T14:15:00.683605,INX-24APR11-B5162,2.0,yes,4,6.026005410905205
2024-04-11T14:17:00.947354,INX-24APR11-B5162,6.0,yes,4,5.224705094316848
2024-04-11T14:17:01.004948,INX-24APR11-B5212,1.0,no,49,13.357331239259587
2024-04-11T14:17:01.069383,INX-24APR11-B5237,1.0,yes,15,3.304067894509913
2024-04-11T14:18:00.716237,INX-24APR11-B5162,8.0,yes,4,5.147143360717697
