datetime,market,ev,bid,ask
2024-04-16T10:46:21.301043,INX-24APR16-B5012,2.3032448998522703,13,14
2024-04-16T10:46:21.301273,INX-24APR16-B5037,5.1201884030202045,19,20
2024-04-16T10:46:21.301485,INX-24APR16-B5062,1.937601010203604,22,23
2024-04-16T10:46:21.301729,INX-24APR16-B5087,-3.0497708876963294,17,19
2024-04-16T10:46:21.301932,INX-24APR16-B5112,-2.42930893199145,7,9
2024-04-16T10:48:28.781211,INX-24APR16-T5000,-3.397532785882662,12,13
2024-04-16T10:48:28.781878,INX-24APR16-B5012,2.9377860966702087,12,14
2024-04-16T10:48:28.782410,INX-24APR16-B5037,5.494806091694922,19,20
2024-04-16T10:48:28.782847,INX-24APR16-B5062,1.6540568642853444,22,23
2024-04-16T10:48:28.783249,INX-24APR16-B5087,-3.683655732078167,18,19
2024-04-16T10:48:28.783638,INX-24APR16-B5112,-2.8893029555700753,8,9
2024-04-16T10:56:22.653951,INX-24APR16-T5000,-4.058323775974991,12,14
2024-04-16T10:56:22.654277,INX-24APR16-B5012,3.5387061235613544,13,14
2024-04-16T10:56:22.654696,INX-24APR16-B5037,5.034915212618326,20,21
2024-04-16T10:56:22.655109,INX-24APR16-B5062,1.5555834666886028,22,23
2024-04-16T10:56:22.655522,INX-24APR16-B5087,-4.285075112233278,17,19
2024-04-16T10:56:22.655913,INX-24APR16-B5112,-2.399935958937431,7,8
2024-04-16T11:11:47.028782,INX-24APR16-T5000,-4.224352571754873,10,11
2024-04-16T11:11:47.029300,INX-24APR16-B5012,1.7567019734200304,12,13
2024-04-16T11:11:47.029636,INX-24APR16-B5037,4.144927754938983,20,21
2024-04-16T11:11:47.029938,INX-24APR16-B5062,1.5973012870202687,23,25
2024-04-16T11:11:47.030220,INX-24APR16-B5087,-2.5347326887222685,19,20
2024-04-16T11:11:47.030502,INX-24APR16-B5112,-1.883223525170977,8,9
2024-04-16T11:12:01.960336,INX-24APR16-T5000,-4.233072098793937,10,11
2024-04-16T11:12:01.960866,INX-24APR16-B5012,1.7551360101291351,12,13
2024-04-16T11:12:01.961312,INX-24APR16-B5037,4.153735872928635,19,21
2024-04-16T11:12:01.961725,INX-24APR16-B5062,1.6078966908892198,24,25
2024-04-16T11:12:01.962124,INX-24APR16-B5087,-2.5340650109758442,19,20
2024-04-16T11:12:01.962509,INX-24APR16-B5112,-1.8884266950218418,8,9
2024-04-16T11:13:01.776255,INX-24APR16-T5000,-4.303787114391118,10,11
2024-04-16T11:13:01.776856,INX-24APR16-B5012,1.703233106911556,12,13
2024-04-16T11:13:01.777281,INX-24APR16-B5037,5.158167435604632,19,20
2024-04-16T11:13:01.777681,INX-24APR16-B5062,1.6686456001567151,24,25
2024-04-16T11:13:01.778084,INX-24APR16-B5087,-2.485232905158192,19,20
2024-04-16T11:13:01.778477,INX-24APR16-B5112,-1.8762793842460415,8,9
2024-04-16T11:14:01.644476,INX-24APR16-T5000,-5.593534231615487,11,12
2024-04-16T11:14:01.645010,INX-24APR16-B5012,0.3723583028069921,13,14
2024-04-16T11:14:01.645443,INX-24APR16-B5037,3.974902797419908,19,21
2024-04-16T11:14:01.645857,INX-24APR16-B5062,1.8432016242603488,24,25
2024-04-16T11:14:01.646260,INX-24APR16-B5087,-1.1535589392731183,18,19
2024-04-16T11:14:01.646662,INX-24APR16-B5112,-0.663706417903513,7,8
2024-04-16T11:15:01.618476,INX-24APR16-T5000,-4.4660148994392985,10,12
2024-04-16T11:15:01.619050,INX-24APR16-B5012,2.7815503545151614,12,13
2024-04-16T11:15:01.619517,INX-24APR16-B5037,4.895051732843527,19,21
2024-04-16T11:15:01.619931,INX-24APR16-B5062,1.2393386295106055,24,25
2024-04-16T11:15:01.620326,INX-24APR16-B5087,-2.580349684319934,18,19
